"DateTime";"Stock Price History"
"2001-01-10 00:00:00";0,1695
"2001-01-11 00:00:00";0,1836
"2001-01-12 00:00:00";0,1798
"2001-01-16 00:00:00";0,1657
"2001-01-17 00:00:00";0,1717
"2001-01-18 00:00:00";0,2046
"2001-01-19 00:00:00";0,1992
"2001-01-22 00:00:00";0,1913
"2001-01-23 00:00:00";0,2103
"2001-01-24 00:00:00";0,2095
"2001-01-25 00:00:00";0,1884
"2001-01-26 00:00:00";0,1944
"2001-01-29 00:00:00";0,1953
"2001-01-30 00:00:00";0,1997
"2001-01-31 00:00:00";0,1975
"2001-02-01 00:00:00";0,1985
"2001-02-02 00:00:00";0,1794
"2001-02-05 00:00:00";0,1791
"2001-02-06 00:00:00";0,18
"2001-02-07 00:00:00";0,1717
"2001-02-08 00:00:00";0,1707
"2001-02-09 00:00:00";0,1695
"2001-02-12 00:00:00";0,165
"2001-02-13 00:00:00";0,17
"2001-02-14 00:00:00";0,1825
"2001-02-15 00:00:00";0,2159
"2001-02-16 00:00:00";0,2276
"2001-02-20 00:00:00";0,2049
"2001-02-21 00:00:00";0,2142
"2001-02-22 00:00:00";0,2234
"2001-02-23 00:00:00";0,2079
"2001-02-26 00:00:00";0,2033
"2001-02-27 00:00:00";0,1911
"2001-02-28 00:00:00";0,171
"2001-03-01 00:00:00";0,1845
"2001-03-02 00:00:00";0,1667
"2001-03-05 00:00:00";0,1683
"2001-03-06 00:00:00";0,1846
"2001-03-07 00:00:00";0,1994
"2001-03-08 00:00:00";0,2061
"2001-03-09 00:00:00";0,1915
"2001-03-12 00:00:00";0,1846
"2001-03-13 00:00:00";0,2066
"2001-03-14 00:00:00";0,2183
"2001-03-15 00:00:00";0,2291
"2001-03-16 00:00:00";0,2281
"2001-03-19 00:00:00";0,2413
"2001-03-20 00:00:00";0,2188
"2001-03-21 00:00:00";0,2351
"2001-03-22 00:00:00";0,2587
"2001-03-23 00:00:00";0,2563
"2001-03-26 00:00:00";0,2702
"2001-03-27 00:00:00";0,2604
"2001-03-28 00:00:00";0,2606
"2001-03-29 00:00:00";0,2645
"2001-03-30 00:00:00";0,2484
"2001-04-02 00:00:00";0,2379
"2001-04-03 00:00:00";0,2458
"2001-04-04 00:00:00";0,2205
"2001-04-05 00:00:00";0,2408
"2001-04-06 00:00:00";0,2398
"2001-04-09 00:00:00";0,2282
"2001-04-10 00:00:00";0,2497
"2001-04-11 00:00:00";0,2648
"2001-04-12 00:00:00";0,2688
"2001-04-16 00:00:00";0,2622
"2001-04-17 00:00:00";0,2751
"2001-04-18 00:00:00";0,2956
"2001-04-19 00:00:00";0,321
"2001-04-20 00:00:00";0,3327
"2001-04-23 00:00:00";0,3151
"2001-04-24 00:00:00";0,2928
"2001-04-25 00:00:00";0,3063
"2001-04-26 00:00:00";0,2822
"2001-04-27 00:00:00";0,3022
"2001-04-30 00:00:00";0,3187
"2001-05-01 00:00:00";0,3485
"2001-05-02 00:00:00";0,3405
"2001-05-03 00:00:00";0,339
"2001-05-04 00:00:00";0,3436
"2001-05-07 00:00:00";0,3591
"2001-05-08 00:00:00";0,3331
"2001-05-09 00:00:00";0,3175
"2001-05-10 00:00:00";0,3068
"2001-05-11 00:00:00";0,299
"2001-05-14 00:00:00";0,3015
"2001-05-15 00:00:00";0,3123
"2001-05-16 00:00:00";0,3271
"2001-05-17 00:00:00";0,3329
"2001-05-18 00:00:00";0,3302
"2001-05-21 00:00:00";0,3451
"2001-05-22 00:00:00";0,3554
"2001-05-23 00:00:00";0,3524
"2001-05-24 00:00:00";0,3576
"2001-05-25 00:00:00";0,3508
"2001-05-29 00:00:00";0,3364
"2001-05-30 00:00:00";0,3302
"2001-05-31 00:00:00";0,3275
"2001-06-01 00:00:00";0,3457
"2001-06-04 00:00:00";0,3403
"2001-06-05 00:00:00";0,3582
"2001-06-06 00:00:00";0,3597
"2001-06-07 00:00:00";0,38
"2001-06-08 00:00:00";0,3702
"2001-06-11 00:00:00";0,3593
"2001-06-12 00:00:00";0,3713
"2001-06-13 00:00:00";0,3588
"2001-06-14 00:00:00";0,3581
"2001-06-15 00:00:00";0,3636
"2001-06-18 00:00:00";0,3493
"2001-06-19 00:00:00";0,3302
"2001-06-20 00:00:00";0,3444
"2001-06-21 00:00:00";0,3509
"2001-06-22 00:00:00";0,3493
"2001-06-25 00:00:00";0,3486
"2001-06-26 00:00:00";0,3587
"2001-06-27 00:00:00";0,3476
"2001-06-28 00:00:00";0,3517
"2001-06-29 00:00:00";0,3549
"2001-07-02 00:00:00";0,3391
"2001-07-03 00:00:00";0,3434
"2001-07-05 00:00:00";0,3185
"2001-07-06 00:00:00";0,3087
"2001-07-09 00:00:00";0,2986
"2001-07-10 00:00:00";0,3011
"2001-07-11 00:00:00";0,3005
"2001-07-12 00:00:00";0,3163
"2001-07-13 00:00:00";0,3097
"2001-07-16 00:00:00";0,2848
"2001-07-17 00:00:00";0,3008
"2001-07-18 00:00:00";0,2903
"2001-07-19 00:00:00";0,295
"2001-07-20 00:00:00";0,2865
"2001-07-23 00:00:00";0,2594
"2001-07-24 00:00:00";0,277
"2001-07-25 00:00:00";0,2743
"2001-07-26 00:00:00";0,3022
"2001-07-27 00:00:00";0,3099
"2001-07-30 00:00:00";0,3025
"2001-07-31 00:00:00";0,3095
"2001-08-01 00:00:00";0,3284
"2001-08-02 00:00:00";0,3362
"2001-08-03 00:00:00";0,334
"2001-08-06 00:00:00";0,3437
"2001-08-07 00:00:00";0,3386
"2001-08-08 00:00:00";0,33
"2001-08-09 00:00:00";0,3242
"2001-08-10 00:00:00";0,3238
"2001-08-13 00:00:00";0,3374
"2001-08-14 00:00:00";0,3285
"2001-08-15 00:00:00";0,3288
"2001-08-16 00:00:00";0,3427
"2001-08-17 00:00:00";0,3205
"2001-08-20 00:00:00";0,3183
"2001-08-21 00:00:00";0,3116
"2001-08-22 00:00:00";0,3244
"2001-08-23 00:00:00";0,3172
"2001-08-24 00:00:00";0,3263
"2001-08-27 00:00:00";0,3376
"2001-08-28 00:00:00";0,3332
"2001-08-29 00:00:00";0,3224
"2001-08-30 00:00:00";0,3214
"2001-08-31 00:00:00";0,3241
"2001-09-04 00:00:00";0,3016
"2001-09-05 00:00:00";0,308
"2001-09-06 00:00:00";0,2954
"2001-09-07 00:00:00";0,2985
"2001-09-10 00:00:00";0,2898
"2001-09-17 00:00:00";0,2601
"2001-09-18 00:00:00";0,2444
"2001-09-19 00:00:00";0,2414
"2001-09-20 00:00:00";0,221
"2001-09-21 00:00:00";0,2064
"2001-09-24 00:00:00";0,2296
"2001-09-25 00:00:00";0,2206
"2001-09-26 00:00:00";0,2126
"2001-09-27 00:00:00";0,2009
"2001-09-28 00:00:00";0,2102
"2001-10-01 00:00:00";0,1924
"2001-10-02 00:00:00";0,1827
"2001-10-03 00:00:00";0,2187
"2001-10-04 00:00:00";0,2471
"2001-10-05 00:00:00";0,2517
"2001-10-08 00:00:00";0,2574
"2001-10-09 00:00:00";0,2462
"2001-10-10 00:00:00";0,2621
"2001-10-11 00:00:00";0,2905
"2001-10-12 00:00:00";0,3094
"2001-10-15 00:00:00";0,308
"2001-10-16 00:00:00";0,339
"2001-10-17 00:00:00";0,3191
"2001-10-18 00:00:00";0,3325
"2001-10-19 00:00:00";0,3394
"2001-10-22 00:00:00";0,3475
"2001-10-23 00:00:00";0,3413
"2001-10-24 00:00:00";0,3564
"2001-10-25 00:00:00";0,3773
"2001-10-26 00:00:00";0,3504
"2001-10-29 00:00:00";0,3219
"2001-10-30 00:00:00";0,3214
"2001-10-31 00:00:00";0,328
"2001-11-01 00:00:00";0,356
"2001-11-02 00:00:00";0,3609
"2001-11-05 00:00:00";0,3622
